in:dy_4,in:dx_0,in:dy_0,out:Displacement,out:Mass,img
-3,-1,2,0.051566,241.064982,dy_4-3_dx_0-1_dy_02.png
-1.8,-1,2,0.056288,198.71677,dy_4-1.8_dx_0-1_dy_02.png
-0.6,-1,2,0.127851,166.459025,dy_4-0.6_dx_0-1_dy_02.png
0.6,-1,2,0.331668,155.107415,dy_40.6_dx_0-1_dy_02.png
1.8,-1,2,0.084518,170.71292,dy_41.8_dx_0-1_dy_02.png
3,-1,2,0.055649,205.295725,dy_43_dx_0-1_dy_02.png
-3,-0.6,2,0.052111,230.467852,dy_4-3_dx_0-0.6_dy_02.png
-1.8,-0.6,2,0.05565,186.987554,dy_4-1.8_dx_0-0.6_dy_02.png
-0.6,-0.6,2,0.112372,152.934915,dy_4-0.6_dx_0-0.6_dy_02.png
0.6,-0.6,2,0.288675,139.584363,dy_40.6_dx_0-0.6_dy_02.png
1.8,-0.6,2,0.071662,155.737253,dy_41.8_dx_0-0.6_dy_02.png
3,-0.6,2,0.046708,192.453409,dy_43_dx_0-0.6_dy_02.png
-3,-0.2,2,0.054439,223.32106,dy_4-3_dx_0-0.2_dy_02.png
-1.8,-0.2,2,0.057334,178.82702,dy_4-1.8_dx_0-0.2_dy_02.png
-0.6,-0.2,2,0.104876,142.943213,dy_4-0.6_dx_0-0.2_dy_02.png
0.6,-0.2,2,0.228669,126.946715,dy_40.6_dx_0-0.2_dy_02.png
1.8,-0.2,2,0.056426,143.919948,dy_41.8_dx_0-0.2_dy_02.png
3,-0.2,2,0.045195,183.198823,dy_43_dx_0-0.2_dy_02.png
-3,0.2,2,0.058008,218.631892,dy_4-3_dx_00.2_dy_02.png
-1.8,0.2,2,0.061088,173.324886,dy_4-1.8_dx_00.2_dy_02.png
-0.6,0.2,2,0.107393,135.768063,dy_4-0.6_dx_00.2_dy_02.png
0.6,0.2,2,0.163379,116.304156,dy_40.6_dx_00.2_dy_02.png
1.8,0.2,2,0.051971,134.575107,dy_41.8_dx_00.2_dy_02.png
3,0.2,2,0.050684,176.738113,dy_43_dx_00.2_dy_02.png
-3,0.6,2,0.062232,215.704581,dy_4-3_dx_00.6_dy_02.png
-1.8,0.6,2,0.066305,169.867655,dy_4-1.8_dx_00.6_dy_02.png
-0.6,0.6,2,0.121033,131.092301,dy_4-0.6_dx_00.6_dy_02.png
0.6,0.6,2,0.125646,107.512685,dy_40.6_dx_00.6_dy_02.png
1.8,0.6,2,0.059848,127.781284,dy_41.8_dx_00.6_dy_02.png
3,0.6,2,0.057973,172.609736,dy_43_dx_00.6_dy_02.png
-3,1,2,0.070313,170.643905,dy_4-3_dx_01_dy_02.png
-1.8,1,2,0.075946,137.679297,dy_4-1.8_dx_01_dy_02.png
-0.6,1,2,0.156438,111.507764,dy_4-0.6_dx_01_dy_02.png
0.6,1,2,0.138778,98.450978,dy_40.6_dx_01_dy_02.png
1.8,1,2,0.070126,115.917987,dy_41.8_dx_01_dy_02.png
3,1,2,0.066545,148.882595,dy_43_dx_01_dy_02.png
